id,surname,name,patronymic,specialisation
1,Михайлов,Евгений,Владимирович,"17, 31, 16"
2,Лебедев,Андрей,Михайлович,"35, 11, 19"
3,Михайлов,Андрей,Михайлович,"16, 19, 30"
4,Соколов,Андрей,Романович,"18, 10, 11"
5,Козлов,Игорь,Романович,"11, 17, 12"
6,Соколов,Игорь,Александрович,"12, 36, 19"
7,Лебедев,Николай,Михайлович,"31, 36, 21"
8,Кузнецов,Александр,Евгеньевич,"19, 31, 10"
9,Козлов,Сергей,Николаевич,"21, 16, 19"
10,Попов,Павел,Алексеевич,"36, 11, 19"
11,Сидоров,Дмитрий,Михайлович,"21, 36, 19"
12,Фёдоров,Максим,Олегович,"19, 21, 17"
13,Кузнецов,Сергей,Романович,"12, 21, 11"
14,Сидоров,Виктор,Романович,"10, 30, 17"
15,Семёнов,Евгений,Андреевич,"10, 16, 12"
16,Кузнецов,Алексей,Сергеевич,"36, 11, 19"
17,Иванов,Николай,Александрович,"17, 30, 35"
18,Сидоров,Андрей,Николаевич,"10, 11, 30"
19,Петров,Евгений,Дмитриевич,"11, 31, 12"
20,Егоров,Николай,Павлович,"16, 31, 10"
21,Волков,Алексей,Романович,"5, 24, 4"
22,Степанов,Виктор,Владимирович,"29, 13, 5"
23,Алексеев,Владимир,Александрович,"9, 24, 26"
24,Кузнецов,Андрей,Дмитриевич,"14, 9, 7"
25,Иванов,Роман,Андреевич,"24, 25, 13"
26,Степанов,Михаил,Евгеньевич,"24, 7, 20"
27,Попов,Игорь,Сергеевич,"6, 4, 20"
28,Егоров,Роман,Сергеевич,"25, 5, 4"
29,Соколов,Дмитрий,Олегович,"24, 4, 29"
30,Смирнов,Сергей,Павлович,"13, 29, 25"
31,Смирнов,Владимир,Михайлович,"9, 14, 25"
32,Павлов,Олег,Владимирович,"24, 29, 7"
33,Кузнецов,Игорь,Александрович,"7, 13, 9"
34,Павлов,Андрей,Викторович,"13, 26, 5"
35,Васильев,Николай,Владимирович,"20, 26, 14"
36,Петров,Андрей,Владимирович,"9, 24, 29"
37,Алексеев,Олег,Сергеевич,"14, 5, 25"
38,Павлов,Сергей,Романович,"13, 14, 6"
39,Петров,Игорь,Олегович,"9, 14, 24"
40,Семёнов,Алексей,Владимирович,"5, 20, 24"
41,Павлов,Николай,Евгеньевич,"34, 32, 33"
42,Иванов,Дмитрий,Романович,"33, 2, 22"
43,Михайлов,Максим,Владимирович,"23, 15, 8"
44,Петров,Михаил,Михайлович,"15, 23, 8"
45,Павлов,Роман,Олегович,"15, 28, 1"
46,Соколов,Евгений,Михайлович,"1, 22, 8"
47,Соколов,Михаил,Игоревич,"3, 32, 27"
48,Морозов,Роман,Павлович,"32, 8, 22"
49,Попов,Виктор,Евгеньевич,"32, 23, 15"
50,Егоров,Игорь,Павлович,"33, 2, 8"
51,Волков,Владимир,Максимович,"22, 1, 8"
52,Сидоров,Виктор,Сергеевич,"15, 1, 22"
53,Степанов,Дмитрий,Михайлович,"2, 22, 34"
54,Павлов,Олег,Евгеньевич,"34, 23, 22"
55,Петров,Евгений,Владимирович,"8, 32, 15"
56,Новиков,Павел,Олегович,"8, 2, 15"
57,Иванов,Игорь,Андреевич,"8, 33, 28"
58,Сидоров,Павел,Игоревич,"22, 23, 2"
59,Васильев,Александр,Владимирович,"33, 22, 8"
60,Алексеев,Алексей,Павлович,"33, 34, 8"
